               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12211,            0.013021,            0.029304,           0.0018848,              0.2114,           0.0021913,          0.00047656,             0.11361,           0.0097277,             0.02702,            0.070882,           0.0032353,           0.0032353
                   1,             0.10342,            0.017939,            0.025113,            0.004414,              0.4881,            0.015898,           0.0032943,            0.099715,            0.011348,            0.023129,            0.040801,           0.0064873,           0.0064873
                   2,            0.089831,            0.020578,            0.020592,             0.11659,             0.26943,            0.078836,            0.021079,            0.099628,            0.010716,            0.015306,            0.010637,           0.0096569,           0.0096569
                   3,            0.081015,            0.018625,            0.014521,            0.080662,             0.24313,             0.06001,            0.014696,            0.097766,            0.011724,           0.0071307,           0.0096288,           0.0096288,           0.0096288
                   4,            0.076601,            0.016945,           0.0089601,             0.39808,             0.62626,             0.40841,             0.12922,            0.069952,             0.01077,           0.0051099,           0.0096288,           0.0096288,           0.0096288
                   5,            0.071956,            0.016185,           0.0067033,             0.34166,             0.62139,             0.37354,             0.13845,            0.073101,           0.0095947,           0.0043329,            0.009505,            0.009505,            0.009505
                   6,            0.065435,            0.015576,           0.0055637,             0.53118,             0.60338,             0.60688,             0.28201,            0.063384,           0.0094021,           0.0037092,           0.0093813,           0.0093813,           0.0093813
                   7,            0.061904,             0.01583,           0.0056703,             0.46399,             0.65737,             0.47546,             0.20599,            0.060724,           0.0086073,           0.0037129,           0.0092575,           0.0092575,           0.0092575
                   8,            0.059851,            0.015096,           0.0048217,              0.6691,             0.75484,              0.7225,             0.30162,            0.057141,            0.008387,           0.0033316,           0.0091337,           0.0091337,           0.0091337
                   9,            0.056585,            0.013782,           0.0046502,             0.76393,             0.81323,             0.81062,             0.41086,            0.049489,           0.0082977,           0.0035313,             0.00901,             0.00901,             0.00901
                  10,            0.053036,             0.01544,           0.0051504,             0.76979,              0.7873,             0.81427,             0.40686,            0.054072,           0.0080448,           0.0034971,           0.0088863,           0.0088863,           0.0088863
                  11,            0.053817,            0.014496,           0.0044681,             0.76571,             0.80279,             0.79904,             0.34638,             0.04903,           0.0077192,           0.0034014,           0.0087625,           0.0087625,           0.0087625
                  12,            0.048683,            0.014436,           0.0040384,             0.72248,             0.85181,             0.82921,              0.4129,            0.049759,           0.0074466,           0.0029249,           0.0086388,           0.0086388,           0.0086388
                  13,            0.049854,            0.013635,           0.0042188,              0.8575,             0.83811,             0.86135,             0.43734,            0.045046,           0.0074225,           0.0028391,            0.008515,            0.008515,            0.008515
                  14,            0.047707,            0.013179,           0.0035764,             0.91346,             0.84286,             0.91525,              0.4878,            0.044517,            0.007228,            0.003192,           0.0083913,           0.0083913,           0.0083913
                  15,            0.045993,            0.013184,           0.0038292,             0.77186,             0.91869,             0.90014,             0.46489,            0.042025,           0.0069828,           0.0027591,           0.0082675,           0.0082675,           0.0082675
                  16,            0.046596,            0.013373,           0.0035788,             0.93055,             0.87194,             0.91915,             0.52069,            0.043622,           0.0065954,           0.0024923,           0.0081437,           0.0081437,           0.0081437
                  17,             0.04522,            0.013372,            0.003111,             0.79294,             0.87406,             0.91241,             0.49001,            0.039671,           0.0065499,           0.0023639,             0.00802,             0.00802,             0.00802
                  18,             0.04318,            0.012676,           0.0039519,             0.96926,             0.90835,             0.94917,             0.56216,            0.039225,           0.0064603,           0.0026654,           0.0078963,           0.0078963,           0.0078963
                  19,            0.042213,            0.012839,           0.0036571,             0.95207,             0.90243,             0.93516,             0.55909,            0.037383,           0.0064661,           0.0028311,           0.0077725,           0.0077725,           0.0077725
                  20,            0.041786,            0.012464,           0.0034358,             0.88509,             0.88604,              0.9102,             0.54162,            0.044784,           0.0063731,           0.0024811,           0.0076488,           0.0076488,           0.0076488
                  21,            0.041842,            0.011942,           0.0037734,             0.93352,             0.91883,             0.93065,             0.54893,             0.04125,            0.006343,           0.0026415,            0.007525,            0.007525,            0.007525
                  22,            0.041589,            0.012649,           0.0028665,             0.92816,              0.8996,             0.91733,             0.57512,            0.038315,           0.0061709,           0.0023438,           0.0074013,           0.0074013,           0.0074013
                  23,             0.04173,            0.012349,           0.0029224,             0.95532,             0.88604,             0.93366,             0.55787,            0.040788,           0.0062229,           0.0023161,           0.0072775,           0.0072775,           0.0072775
                  24,            0.039488,            0.011679,           0.0026351,             0.92907,             0.86762,             0.93274,             0.61421,            0.039948,           0.0062108,           0.0022549,           0.0071538,           0.0071538,           0.0071538
                  25,            0.039047,            0.012315,           0.0028119,             0.93277,             0.89424,              0.9336,             0.62766,            0.036471,           0.0059921,           0.0022562,             0.00703,             0.00703,             0.00703
                  26,            0.040334,            0.012435,            0.002983,             0.84619,             0.91869,             0.94022,             0.55007,            0.036688,            0.006037,           0.0021507,           0.0069063,           0.0069063,           0.0069063
                  27,            0.037106,            0.012122,           0.0035151,             0.96366,             0.91076,             0.96914,             0.61188,            0.032725,           0.0060671,           0.0021277,           0.0067825,           0.0067825,           0.0067825
                  28,            0.037254,            0.012337,           0.0027441,             0.94348,             0.93419,             0.95678,              0.6347,            0.030455,           0.0058684,           0.0019722,           0.0066587,           0.0066587,           0.0066587
