               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12785,            0.010854,            0.029514,           0.0020697,             0.24498,           0.0020419,          0.00049982,             0.12133,           0.0082199,            0.027643,            0.070882,           0.0032353,           0.0032353
                   1,             0.11336,            0.014518,            0.023701,            0.065043,            0.032787,            0.025173,           0.0077189,             0.10638,           0.0097915,            0.020526,            0.040801,           0.0064873,           0.0064873
                   2,            0.098631,            0.016904,            0.016698,             0.15927,             0.35008,             0.11794,            0.025018,            0.099671,           0.0097338,            0.012025,            0.010637,           0.0096569,           0.0096569
                   3,            0.088682,            0.016326,            0.011284,             0.14548,             0.45386,             0.13164,            0.034904,             0.08996,            0.011349,           0.0064598,           0.0096288,           0.0096288,           0.0096288
                   4,            0.082221,            0.016233,           0.0071186,             0.29115,             0.45412,             0.31458,            0.094232,            0.080527,            0.010118,           0.0050547,           0.0096288,           0.0096288,           0.0096288
                   5,             0.07908,            0.015598,           0.0064334,             0.38397,             0.55113,             0.37139,             0.11026,            0.071671,           0.0099011,           0.0045868,            0.009505,            0.009505,            0.009505
                   6,            0.071133,             0.01538,           0.0057227,             0.36483,              0.6014,             0.43285,             0.13787,             0.07462,           0.0093617,            0.004353,           0.0093813,           0.0093813,           0.0093813
                   7,            0.068302,            0.015697,             0.00559,             0.52463,              0.6092,             0.57539,             0.25451,            0.065984,           0.0089061,           0.0039989,           0.0092575,           0.0092575,           0.0092575
                   8,            0.066017,            0.015342,           0.0047612,             0.71931,             0.66218,             0.68058,             0.29326,            0.064081,           0.0085452,           0.0034184,           0.0091337,           0.0091337,           0.0091337
                   9,            0.061118,            0.014278,           0.0047612,             0.56489,             0.71444,              0.6205,             0.29365,            0.061377,           0.0085587,           0.0029944,             0.00901,             0.00901,             0.00901
                  10,            0.059665,            0.015723,           0.0053426,             0.65067,             0.73109,             0.73607,             0.33514,            0.055469,           0.0082467,            0.003101,           0.0088863,           0.0088863,           0.0088863
                  11,            0.058586,            0.014865,           0.0045018,             0.63897,             0.79627,             0.71529,             0.25315,            0.057238,           0.0080256,           0.0029413,           0.0087625,           0.0087625,           0.0087625
                  12,            0.056259,            0.014962,           0.0039796,              0.8064,             0.84896,             0.84059,             0.38153,            0.053791,           0.0079571,           0.0027593,           0.0086388,           0.0086388,           0.0086388
                  13,            0.055201,            0.014343,           0.0044446,             0.84615,             0.82879,             0.84298,             0.35165,             0.05448,           0.0076599,           0.0026894,            0.008515,            0.008515,            0.008515
                  14,            0.054262,            0.013844,           0.0035938,             0.80264,             0.77961,             0.82697,             0.46302,            0.050963,           0.0080354,           0.0027527,           0.0083913,           0.0083913,           0.0083913
                  15,            0.050362,            0.013975,           0.0039459,             0.85489,             0.83145,             0.87676,             0.43362,            0.048209,           0.0078006,           0.0030019,           0.0082675,           0.0082675,           0.0082675
                  16,            0.052183,            0.014245,           0.0039931,             0.91738,             0.82047,             0.89688,             0.52607,            0.043884,           0.0079314,           0.0030106,           0.0081437,           0.0081437,           0.0081437
                  17,            0.049381,            0.014446,           0.0035938,             0.78333,             0.81904,             0.85902,             0.43379,            0.046763,           0.0074765,           0.0026983,             0.00802,             0.00802,             0.00802
                  18,            0.049195,            0.013609,           0.0040323,             0.84193,             0.79908,             0.87298,             0.46697,            0.045365,           0.0072331,           0.0025429,           0.0078963,           0.0078963,           0.0078963
                  19,            0.047738,            0.013852,           0.0036999,             0.90633,             0.79588,             0.88894,             0.54224,             0.04169,           0.0071764,           0.0026739,           0.0077725,           0.0077725,           0.0077725
                  20,            0.048152,            0.013354,            0.003758,             0.82215,              0.8202,             0.87721,             0.46852,            0.048326,            0.007129,           0.0027872,           0.0076488,           0.0076488,           0.0076488
                  21,            0.047322,             0.01301,           0.0040456,             0.87341,             0.82866,             0.89783,             0.51213,            0.040544,           0.0070655,           0.0026376,            0.007525,            0.007525,            0.007525
                  22,            0.045553,            0.013638,           0.0032376,              0.8413,             0.82866,             0.88437,              0.5355,             0.04191,           0.0070145,           0.0025319,           0.0074013,           0.0074013,           0.0074013
                  23,            0.046035,            0.013615,           0.0034551,              0.9056,             0.81282,             0.88086,             0.54874,            0.041658,           0.0071418,           0.0026673,           0.0072775,           0.0072775,           0.0072775
                  24,            0.043301,            0.012907,           0.0030262,             0.89861,             0.84393,             0.91121,             0.47687,            0.046166,           0.0069431,           0.0024889,           0.0071538,           0.0071538,           0.0071538
                  25,            0.044507,            0.013514,           0.0031017,             0.88273,             0.87621,             0.90811,             0.56011,            0.037972,           0.0070499,           0.0023123,             0.00703,             0.00703,             0.00703
                  26,            0.045138,            0.013537,           0.0034232,             0.89479,             0.87784,             0.91698,             0.50916,            0.037902,           0.0070718,            0.002194,           0.0069063,           0.0069063,           0.0069063
                  27,            0.042114,            0.013398,           0.0042316,             0.87704,             0.85325,             0.90313,             0.52226,            0.040966,           0.0070791,            0.002225,           0.0067825,           0.0067825,           0.0067825
