               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030923,            0.011206,           0.0027622,             0.97122,             0.93509,             0.97896,             0.63719,            0.028186,           0.0064865,           0.0017464,           0.0057925,           0.0057925,           0.0057925
                  36,            0.031062,            0.012211,           0.0024045,             0.95901,             0.96975,             0.98136,             0.71037,             0.02613,           0.0062936,           0.0017646,           0.0056688,           0.0056688,           0.0056688
                  37,            0.030667,            0.012273,           0.0020436,             0.93928,             0.97581,             0.98165,             0.69583,            0.026668,           0.0063477,           0.0016816,            0.005545,            0.005545,            0.005545
                  38,             0.03116,            0.012063,           0.0024218,             0.96065,             0.95731,             0.98223,             0.69485,            0.025409,            0.006256,           0.0016192,           0.0054212,           0.0054212,           0.0054212
                  39,            0.031059,            0.011484,           0.0019223,             0.96568,             0.94336,             0.98091,             0.70232,            0.027182,           0.0063398,           0.0015305,           0.0052975,           0.0052975,           0.0052975
                  40,             0.03006,            0.011896,           0.0018339,             0.97317,             0.93536,             0.98319,             0.70085,            0.025349,           0.0062317,           0.0014209,           0.0051737,           0.0051737,           0.0051737
                  41,            0.029676,            0.011036,           0.0021662,             0.92811,             0.96463,             0.96709,             0.71996,            0.024292,           0.0062467,           0.0014788,             0.00505,             0.00505,             0.00505
                  42,            0.029081,            0.011082,           0.0019868,             0.96274,             0.94009,             0.96528,             0.72342,            0.024842,           0.0062005,           0.0015468,           0.0049263,           0.0049263,           0.0049263
                  43,            0.028819,              0.0116,           0.0020093,             0.95657,             0.95135,             0.96775,             0.71471,            0.023303,           0.0061619,            0.001661,           0.0048025,           0.0048025,           0.0048025
                  44,            0.029275,            0.011008,           0.0022783,             0.97195,             0.92971,              0.9653,             0.72679,            0.023427,            0.006065,           0.0016256,           0.0046788,           0.0046788,           0.0046788
                  45,            0.027442,            0.010819,           0.0019725,             0.98136,             0.91895,             0.96455,             0.71498,            0.024713,            0.006307,           0.0016602,            0.004555,            0.004555,            0.004555
                  46,            0.027901,              0.0108,           0.0017569,               0.975,             0.93151,               0.972,             0.69194,            0.025269,           0.0062396,           0.0016861,           0.0044313,           0.0044313,           0.0044313
                  47,            0.027293,            0.011256,           0.0015717,             0.97634,              0.9315,             0.97519,             0.71536,            0.025276,           0.0061453,           0.0015571,           0.0043075,           0.0043075,           0.0043075
