               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030695,             0.01134,           0.0019449,              0.9651,             0.91714,             0.96907,             0.68972,            0.026167,           0.0054558,           0.0017641,             0.00307,             0.00307,             0.00307
                  37,            0.028535,            0.011252,           0.0020657,             0.96254,             0.93183,             0.96823,             0.66471,            0.026523,           0.0054505,           0.0016065,            0.002872,            0.002872,            0.002872
                  38,            0.029834,             0.01139,           0.0018987,             0.95055,             0.93428,             0.96871,             0.69445,            0.026261,           0.0053542,            0.001502,            0.002674,            0.002674,            0.002674
                  39,            0.029271,            0.011286,           0.0019837,             0.93886,             0.93834,             0.96909,             0.68908,            0.027303,           0.0053225,           0.0014427,            0.002476,            0.002476,            0.002476
                  40,            0.029441,            0.010838,           0.0016423,             0.94937,             0.93637,             0.96936,              0.7079,             0.02497,           0.0053065,           0.0014359,            0.002278,            0.002278,            0.002278
                  41,             0.02836,            0.010839,           0.0022811,             0.92775,              0.9552,             0.97097,             0.68907,            0.025352,           0.0052577,           0.0014948,             0.00208,             0.00208,             0.00208
                  42,            0.029572,            0.011102,           0.0016043,             0.91452,             0.94943,             0.96606,             0.70096,            0.025383,           0.0052228,           0.0014573,            0.001882,            0.001882,            0.001882
                  43,            0.026467,            0.010143,           0.0015347,             0.94137,             0.95508,             0.97187,             0.71866,             0.02432,           0.0051698,            0.001427,            0.001684,            0.001684,            0.001684
                  44,            0.028336,            0.011311,           0.0019258,             0.94182,             0.95568,             0.97118,              0.7218,            0.023876,           0.0051659,           0.0014068,            0.001486,            0.001486,            0.001486
                  45,            0.026393,             0.01011,           0.0017009,             0.94261,             0.95849,             0.97101,             0.72371,            0.023887,           0.0051444,           0.0013975,            0.001288,            0.001288,            0.001288
                  46,            0.027526,            0.010586,           0.0019232,             0.95301,             0.95148,             0.97135,             0.70895,            0.024772,           0.0051342,           0.0013888,             0.00109,             0.00109,             0.00109
                  47,            0.025926,            0.010378,           0.0013854,             0.95575,             0.94268,             0.97138,             0.72668,            0.023562,           0.0050836,           0.0013422,            0.000892,            0.000892,            0.000892
                  48,            0.027237,            0.010505,           0.0016075,             0.94365,             0.95951,             0.97173,             0.71667,            0.023285,           0.0050694,           0.0012961,            0.000694,            0.000694,            0.000694
                  49,             0.02546,           0.0099265,           0.0017651,             0.95109,             0.94927,             0.97212,             0.72137,            0.023355,           0.0050354,           0.0012929,            0.000496,            0.000496,            0.000496
