               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11782,             0.01695,            0.029459,           0.0063091,             0.26917,            0.006031,            0.001432,             0.10668,            0.014537,            0.026671,              0.0748,              0.0028,              0.0028
                   1,            0.094801,            0.023667,            0.025247,             0.13135,             0.22832,            0.078663,            0.018717,            0.087871,            0.016095,            0.021294,            0.048629,           0.0056295,           0.0056295
                   2,            0.080371,            0.024436,            0.019552,             0.24245,             0.24339,             0.13498,            0.031649,            0.092655,            0.015029,            0.012428,            0.022387,           0.0083871,           0.0083871
                   3,            0.076911,            0.021317,            0.012357,             0.34369,             0.54588,             0.34739,             0.11939,            0.091035,            0.012754,           0.0047666,           0.0096288,           0.0096288,           0.0096288
                   4,            0.072071,            0.020297,           0.0082965,              0.5023,             0.53715,             0.49052,             0.17203,            0.071125,            0.012197,           0.0038085,           0.0096288,           0.0096288,           0.0096288
                   5,            0.065467,            0.019049,           0.0062653,             0.43565,             0.64629,              0.4695,             0.17533,            0.069911,            0.010816,           0.0035067,            0.009505,            0.009505,            0.009505
                   6,            0.061019,            0.017648,           0.0052201,             0.35782,             0.68651,             0.49201,             0.20401,            0.064466,            0.010641,           0.0027837,           0.0093813,           0.0093813,           0.0093813
                   7,             0.05645,            0.018293,           0.0046678,             0.62498,             0.71086,             0.73565,             0.34719,            0.049022,            0.010249,           0.0026872,           0.0092575,           0.0092575,           0.0092575
                   8,            0.053236,             0.01619,           0.0040004,             0.62419,             0.74749,             0.73359,             0.30322,            0.052586,           0.0096046,           0.0026665,           0.0091337,           0.0091337,           0.0091337
                   9,            0.051908,            0.016116,           0.0043352,             0.62853,             0.83606,             0.79842,             0.37811,            0.049376,           0.0096644,           0.0030355,             0.00901,             0.00901,             0.00901
                  10,            0.049501,            0.016811,           0.0045273,             0.80978,             0.88604,             0.91331,             0.49205,            0.041821,            0.009196,           0.0029267,           0.0088863,           0.0088863,           0.0088863
